Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_i[31:0],top_i/baseband_j[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
0,0,1,0,-7364,-220430
1,1,0,1,-1451,-210383
2,2,0,1,71379,-272530
3,3,0,1,109544,-297253
4,4,0,1,99893,-271477
5,5,0,1,38399,-192827
6,6,0,1,-68795,-73362
7,7,0,1,-206582,62732
8,8,0,1,-353971,186618
9,9,0,1,-488299,274497
10,10,0,1,-589328,315217
11,11,0,1,-642470,312781
12,12,0,1,-640522,283002
13,13,0,1,-583576,245966
14,14,0,1,-478053,217836
15,15,0,1,-335078,205304
16,16,0,1,-168869,204771
17,17,0,1,4463,205817
18,18,0,1,167941,196936
19,19,0,1,304785,170649
20,20,0,1,400034,125919
21,21,0,1,442622,67501
22,22,0,1,427433,3165
23,23,0,1,356850,-59280
24,24,0,1,241142,-114025
25,25,0,1,96761,-156970
26,26,0,1,-56442,-184742
27,27,0,1,-199187,-193768
28,28,0,1,-316345,-180896
29,29,0,1,-399173,-144931
30,30,0,1,-445741,-88920
31,31,0,1,-459664,-21380
32,32,0,1,-447643,44462
33,33,0,1,-416923,93948
34,34,0,1,-373612,115452
35,35,0,1,-322217,104358
36,36,0,1,-266046,64912
37,37,0,1,-208187,8747
38,38,0,1,-152503,-48800
39,39,0,1,-103481,-93481
40,40,0,1,-65352,-116641
41,41,0,1,-41033,-116990
42,42,0,1,-30829,-99668
43,43,0,1,-32136,-73860
44,44,0,1,-40058,-49120
45,45,0,1,-48701,-32502
46,46,0,1,-52921,-27106
47,47,0,1,-49749,-32340
48,48,0,1,-38979,-45326
49,49,0,1,-22858,-62031
50,50,0,1,-5142,-78713
51,51,0,1,9901,-92015
52,52,0,1,18849,-98996
53,53,0,1,19819,-97394
54,54,0,1,12631,-85757
55,55,0,1,-1396,-64236
56,56,0,1,-19972,-35352
57,57,0,1,-40166,-3716
58,58,0,1,-58831,24223
59,59,0,1,-73032,41725
60,60,0,1,-80488,43628
61,61,0,1,-79867,28028
62,62,0,1,-71262,-2733
63,63,0,1,-56152,-42524
64,64,0,1,-37329,-82612
65,65,0,1,-18205,-114096
66,66,0,1,-1980,-130302
67,67,0,1,9026,-128573
68,68,0,1,14095,-110833
69,69,0,1,14075,-82922
70,70,0,1,11041,-52744
71,71,0,1,7397,-27956
72,72,0,1,4953,-13712
73,73,0,1,4230,-11282
74,74,0,1,4336,-18030
75,75,0,1,3353,-28576
76,76,0,1,-781,-36845
77,77,0,1,-9376,-38303
78,78,0,1,-22226,-31462
79,79,0,1,-37467,-18305
80,80,0,1,-52002,-3400
81,81,0,1,-62447,7872
82,82,0,1,-66195,11323
83,83,0,1,-62251,5449
84,84,0,1,-51549,-8100
85,85,0,1,-36603,-25224
86,86,0,1,-20700,-40908
87,87,0,1,-6927,-50988
88,88,0,1,2608,-53474
89,89,0,1,7115,-48991
90,90,0,1,6961,-40204
91,91,0,1,3181,-30592
92,92,0,1,-3127,-23045
93,93,0,1,-11167,-18937
94,94,0,1,-20412,-17956
95,95,0,1,-30381,-18677
96,96,0,1,-40246,-19549
97,97,0,1,-48599,-19865
98,98,0,1,-53614,-20194
99,99,0,1,-53616,-22152
100,100,0,1,-47710,-27548
101,101,0,1,-36388,-37383
102,102,0,1,-21773,-51134
103,103,0,1,-7247,-66639
104,104,0,1,3324,-80714
105,105,0,1,6637,-90161
106,106,0,1,885,-92948
107,107,0,1,-13745,-88940
108,108,0,1,-35077,-79891
109,109,0,1,-59529,-68850
110,110,0,1,-82973,-59016
111,111,0,1,-101650,-52634
112,112,0,1,-112899,-50281
113,113,0,1,-115527,-50731
114,114,0,1,-109860,-51490
115,115,0,1,-97443,-49761
116,116,0,1,-80710,-43479
117,117,0,1,-62488,-31961
118,118,0,1,-45570,-16279
119,119,0,1,-32294,1051
120,120,0,1,-24223,16731
121,121,0,1,-21929,27438
122,122,0,1,-24931,30570
123,123,0,1,-31842,24791
124,124,0,1,-40683,10274
125,125,0,1,-49390,-11295
126,126,0,1,-56327,-36954
127,127,0,1,-60631,-62882
128,128,0,1,-62387,-84982
129,129,0,1,-62467,-99573
130,130,0,1,-62194,-104122
131,131,0,1,-62861,-97824
132,132,0,1,-65303,-81931
133,133,0,1,-69583,-59578
134,134,0,1,-75023,-35165
135,135,0,1,-80317,-13330
136,136,0,1,-83854,2146
137,137,0,1,-84120,9330
138,138,0,1,-80053,8489
139,139,0,1,-71290,1785
140,140,0,1,-58423,-7620
141,141,0,1,-42986,-16769
142,142,0,1,-27340,-24072
143,143,0,1,-14343,-29750
144,144,0,1,-6825,-35719
145,145,0,1,-6967,-44564
146,146,0,1,-15692,-58199
147,147,0,1,-32238,-76733
148,148,0,1,-54122,-97903
149,149,0,1,-77553,-117443
150,150,0,1,-98249,-130320
151,151,0,1,-112463,-132425
152,152,0,1,-117910,-122065
153,153,0,1,-114327,-100787
154,154,0,1,-103450,-73077
155,155,0,1,-88377,-45105
156,156,0,1,-72552,-22842
157,157,0,1,-58802,-10275
158,158,0,1,-48598,-8286
159,159,0,1,-41930,-14620
160,160,0,1,-37714,-24914
161,161,0,1,-34605,-34377
162,162,0,1,-31703,-39507
163,163,0,1,-28988,-39218
164,164,0,1,-27282,-34951
165,165,0,1,-27641,-29839
166,166,0,1,-30622,-27227
167,167,0,1,-35748,-29185
168,168,0,1,-41400,-35639
169,169,0,1,-45309,-44356
170,170,0,1,-45468,-51826
171,171,0,1,-40999,-54749
172,172,0,1,-32749,-51423
173,173,0,1,-23201,-42456
174,174,0,1,-15703,-30633
175,175,0,1,-13295,-19865
176,176,0,1,-17554,-13625
177,177,0,1,-27896,-13543
178,178,0,1,-41687,-18637
179,179,0,1,-55029,-25596
180,180,0,1,-64032,-29972
181,181,0,1,-66161,-27886
182,182,0,1,-61043,-17591
183,183,0,1,-50601,-377
184,184,0,1,-38379,19592
185,185,0,1,-28354,36524
186,186,0,1,-23709,44817
187,187,0,1,-25841,40862
188,188,0,1,-34023,24238
189,189,0,1,-45784,-2096
190,190,0,1,-57735,-32710
191,191,0,1,-66624,-61282
192,192,0,1,-70199,-82346
193,193,0,1,-67709,-92736
194,194,0,1,-59903,-92161
195,195,0,1,-48622,-82947
196,196,0,1,-36168,-69096
197,197,0,1,-24705,-55048
198,198,0,1,-15833,-44456
199,199,0,1,-10456,-39423
200,200,0,1,-8794,-40231
201,201,0,1,-10500,-45555
202,202,0,1,-14815,-52952
203,203,0,1,-20610,-59566
204,204,0,1,-26370,-62735
205,205,0,1,-30314,-60538
206,206,0,1,-30590,-52136
