Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_j[31:0],top_i/baseband_i[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
0,0,1,0,-609468,-197480
1,1,0,1,-313691,-241732
2,2,0,1,-271098,-369714
3,3,0,1,-198586,-457525
4,4,0,1,-115982,-490703
5,5,0,1,-46577,-467740
6,6,0,1,-9394,-401531
7,7,0,1,-12981,-316601
8,8,0,1,-51657,-242420
9,9,0,1,-106748,-204221
10,10,0,1,-151619,-214754
11,11,0,1,-160009,-268758
12,12,0,1,-114830,-343556
13,13,0,1,-14432,-404618
14,14,0,1,125214,-416075
15,15,0,1,273572,-351885
16,16,0,1,392706,-204900
17,17,0,1,447331,9583
18,18,0,1,413883,257027
19,19,0,1,287175,492237
20,20,0,1,81990,671683
21,21,0,1,-169700,764666
22,22,0,1,-426166,761491
23,23,0,1,-644741,673953
24,24,0,1,-790972,531764
25,25,0,1,-845699,372612
26,26,0,1,-807883,231819
27,27,0,1,-693986,133337
28,28,0,1,-533443,85262
29,29,0,1,-362277,80493
30,30,0,1,-214302,101673
31,31,0,1,-115089,128469
32,32,0,1,-76698,144672
33,33,0,1,-96866,142742
34,34,0,1,-160740,124438
35,35,0,1,-246021,98551
36,36,0,1,-329144,75846
37,37,0,1,-390966,65209
38,38,0,1,-421248,69507
39,39,0,1,-419406,85885
40,40,0,1,-393618,106870
41,41,0,1,-356467,124158
42,42,0,1,-321294,131795
43,43,0,1,-297760,128126
44,44,0,1,-290163,116092
45,45,0,1,-297191,101442
46,46,0,1,-313658,90419
47,47,0,1,-332763,86492
48,48,0,1,-348667,89136
49,49,0,1,-358098,93778
50,50,0,1,-360715,93930
51,51,0,1,-358463,83298
52,52,0,1,-354661,59114
53,53,0,1,-352913,23272
54,54,0,1,-355429,-17552
55,55,0,1,-363169,-53284
56,56,0,1,-375422,-73801
57,57,0,1,-390401,-71411
58,58,0,1,-405370,-43964
59,59,0,1,-417679,5177
60,60,0,1,-424768,67393
61,61,0,1,-425289,131625
62,62,0,1,-419097,186990
63,63,0,1,-407070,225995
64,64,0,1,-391519,245804
65,65,0,1,-375363,248448
66,66,0,1,-361620,239245
67,67,0,1,-352424,224763
68,68,0,1,-349295,210347
69,69,0,1,-352283,198749
70,70,0,1,-360273,190008
71,71,0,1,-371391,182130
72,72,0,1,-383537,172580
73,73,0,1,-394803,159863
74,74,0,1,-403880,144489
75,75,0,1,-410232,128951
76,76,0,1,-414013,116802
77,77,0,1,-415877,111235
78,78,0,1,-416654,113676
79,79,0,1,-417067,122983
80,80,0,1,-417611,135493
81,81,0,1,-418531,145926
82,82,0,1,-419974,148759
83,83,0,1,-422098,139779
84,84,0,1,-425118,117221
85,85,0,1,-429239,82281
86,86,0,1,-434396,38911
87,87,0,1,-440030,-6974
88,88,0,1,-444961,-48838
89,89,0,1,-447465,-80880
90,90,0,1,-445828,-99152
91,91,0,1,-438889,-102506
92,92,0,1,-426719,-92719
93,93,0,1,-410918,-74055
94,94,0,1,-394420,-52258
95,95,0,1,-380859,-33261
96,96,0,1,-373519,-21769
97,97,0,1,-374269,-20114
98,98,0,1,-382936,-27788
99,99,0,1,-397301,-41731
100,100,0,1,-413651,-57247
101,101,0,1,-427923,-69417
102,102,0,1,-436855,-74405
103,103,0,1,-438728,-70484
104,104,0,1,-433655,-58291
105,105,0,1,-423191,-40379
106,106,0,1,-409571,-20243
107,107,0,1,-394871,-1145
108,108,0,1,-380520,14906
109,109,0,1,-367224,27628
110,110,0,1,-355234,38385
111,111,0,1,-344845,49465
112,112,0,1,-336700,63149
113,113,0,1,-331760,80735
114,114,0,1,-330950,101866
115,115,0,1,-334644,124372
116,116,0,1,-342263,144673
117,117,0,1,-352296,158679
118,118,0,1,-362721,162989
119,119,0,1,-371717,155995
120,120,0,1,-378370,138755
121,121,0,1,-383057,114997
122,122,0,1,-387248,90390
123,123,0,1,-392859,71162
124,124,0,1,-401250,62258
125,125,0,1,-412477,65636
126,126,0,1,-424977,79383
127,127,0,1,-435984,98015
128,128,0,1,-442468,113996
129,129,0,1,-442362,120074
130,130,0,1,-435465,111728
131,131,0,1,-423862,88861
132,132,0,1,-411444,56077
133,133,0,1,-402788,21227
134,134,0,1,-401726,-7227
135,135,0,1,-410028,-23058
136,136,0,1,-426719,-24518
137,137,0,1,-448258,-14999
138,138,0,1,-469471,-1855
139,139,0,1,-485024,6107
140,140,0,1,-490961,1627
141,141,0,1,-485758,-18586
142,142,0,1,-470708,-52964
143,143,0,1,-449478,-95850
144,144,0,1,-426936,-139612
145,145,0,1,-407783,-177287
146,146,0,1,-395288,-204683
147,147,0,1,-390523,-221319
148,148,0,1,-392325,-229940
149,149,0,1,-397864,-234924
150,150,0,1,-403694,-240404
151,151,0,1,-406746,-248679
152,152,0,1,-405077,-259361
153,153,0,1,-398188,-269770
154,154,0,1,-386870,-275986
155,155,0,1,-372762,-274197
156,156,0,1,-357787,-261977
157,157,0,1,-343814,-238995
158,158,0,1,-332425,-207090
159,159,0,1,-324908,-169791
160,160,0,1,-322256,-131418
161,161,0,1,-325087,-95959
162,162,0,1,-333378,-66127
163,163,0,1,-346229,-42736
164,164,0,1,-361767,-24541
165,165,0,1,-377308,-8613
166,166,0,1,-389893,8669
167,167,0,1,-397103,30375
168,168,0,1,-397753,57749
169,169,0,1,-392360,89513
170,170,0,1,-383000,121946
171,171,0,1,-372642,149841
172,172,0,1,-364108,168146
173,173,0,1,-359130,173724
174,174,0,1,-357790,166592
175,175,0,1,-358541,150130
176,176,0,1,-358836,130087
177,177,0,1,-356193,112769
178,178,0,1,-349188,102965
179,179,0,1,-338063,102437
180,180,0,1,-324715,109558
181,181,0,1,-312257,120076
182,182,0,1,-304080,128879
183,183,0,1,-302946,131816
184,184,0,1,-310273,126973
185,185,0,1,-325856,115034
