Frequency,Attenuation_dB
1.547002700000000000e+07,-3.223416199689944861e+00
1.547020278125000000e+07,-3.148466307624819827e+00
1.547037856250000000e+07,-3.072933842191631015e+00
1.547055434375000000e+07,-2.999012776648602330e+00
1.547073012500000000e+07,-2.928574477092172224e+00
1.547090590625000000e+07,-2.863090027710011753e+00
1.547108168750000000e+07,-2.801643685952923235e+00
1.547125746875000000e+07,-2.725536235470441326e+00
1.547143325000000000e+07,-2.651180504211174238e+00
1.547160903125000000e+07,-2.580748511552689806e+00
1.547178481250000000e+07,-2.523709600703126554e+00
1.547196059375000000e+07,-2.462744762431096746e+00
1.547213637500000000e+07,-2.399700181887029604e+00
1.547231215625000000e+07,-2.336231476444228683e+00
1.547248793750000000e+07,-2.273790395946450715e+00
1.547266371875000000e+07,-2.213469709631734172e+00
1.547283950000000000e+07,-2.156017597803177477e+00
1.547301528125000000e+07,-2.101790764817202728e+00
1.547319106250000000e+07,-2.050813774788773802e+00
1.547336684375000000e+07,-1.982339977942780163e+00
1.547354262500000000e+07,-1.925301448459262321e+00
1.547371840625000000e+07,-1.875543939876567423e+00
1.547389418750000000e+07,-1.824067396444458922e+00
1.547406996875000000e+07,-1.771983116508466294e+00
1.547424575000000000e+07,-1.720237355333315676e+00
1.547442153125000000e+07,-1.669448649930546313e+00
1.547459731250000000e+07,-1.619929163337830325e+00
1.547477309375000000e+07,-1.571667609044103964e+00
1.547494887500000000e+07,-1.524313997907848162e+00
1.547512465625000000e+07,-1.477253489674128062e+00
1.547530043750000000e+07,-1.429567765193303863e+00
1.547547621875000000e+07,-1.389045223024658160e+00
1.547565200000000000e+07,-1.343885613232113974e+00
1.547582778125000000e+07,-1.299636158723595836e+00
1.547600356250000000e+07,-1.256802076700863413e+00
1.547617934375000000e+07,-1.215579611692520823e+00
1.547635512500000000e+07,-1.175821332921389129e+00
1.547653090625000000e+07,-1.137025920879123797e+00
1.547670668750000000e+07,-1.098399419146088185e+00
1.547688246875000000e+07,-1.058828865844434475e+00
1.547705825000000000e+07,-1.017005835846860551e+00
1.547723403125000000e+07,-9.782348782954243260e-01
1.547740981250000000e+07,-9.551798447119731472e-01
1.547758559375000000e+07,-9.221180887785050961e-01
1.547776137500000000e+07,-8.821864723133910902e-01
1.547793715625000000e+07,-8.461181930237342552e-01
1.547811293750000000e+07,-8.134350147869934267e-01
1.547828871875000000e+07,-7.832393780664934635e-01
1.547846450000000000e+07,-7.542614663829237953e-01
1.547864028125000000e+07,-7.249019685736129981e-01
1.547881606250000000e+07,-6.933013570519050983e-01
1.547899184375000000e+07,-6.574046822952912539e-01
1.547916762500000000e+07,-6.306329079244031854e-01
1.547934340625000000e+07,-6.096831222881968770e-01
1.547951918750000000e+07,-5.886931463092536232e-01
1.547969496875000000e+07,-5.647386816055256498e-01
1.547987075000000000e+07,-5.322578940879000298e-01
1.548004653125000000e+07,-5.053470168832220333e-01
1.548022231250000000e+07,-4.824367057853911067e-01
1.548039809375000000e+07,-4.615213334524425060e-01
1.548057387500000000e+07,-4.402399855690732888e-01
1.548074965625000000e+07,-4.159543653212363634e-01
1.548092543750000000e+07,-3.859183582282820213e-01
1.548110121875000000e+07,-3.720515172116122260e-01
1.548127700000000000e+07,-3.548436067440164376e-01
1.548145278125000000e+07,-3.364799989407146197e-01
1.548162856250000000e+07,-3.206091295972264277e-01
1.548180434375000000e+07,-3.076120021044103647e-01
1.548198012500000000e+07,-2.830434073750736079e-01
1.548215590625000000e+07,-2.643699803970060991e-01
1.548233168750000000e+07,-2.489387472255350509e-01
1.548250746875000000e+07,-2.336872968752383706e-01
1.548268325000000000e+07,-2.152620348937304140e-01
1.548285903125000000e+07,-1.969697201494111372e-01
1.548303481250000000e+07,-1.895775508748359650e-01
1.548321059375000000e+07,-1.771099719555732366e-01
1.548338637500000000e+07,-1.627716456025307679e-01
1.548356215625000000e+07,-1.495795441941696613e-01
1.548373793750000000e+07,-1.402349122073539012e-01
1.548391371875000000e+07,-1.369930679744616187e-01
1.548408950000000000e+07,-1.201242975710751365e-01
1.548426528125000000e+07,-1.068698892227809422e-01
1.548444106250000000e+07,-9.479446290422792465e-02
1.548461684375000000e+07,-7.990585229498006758e-02
1.548479262500000000e+07,-7.359687845935743156e-02
1.548496840625000000e+07,-7.054762223101024299e-02
1.548514418750000000e+07,-6.297929163554699672e-02
1.548531996875000000e+07,-5.339234208456392072e-02
1.548549575000000000e+07,-4.405295207846662842e-02
1.548567153125000000e+07,-3.694979913207654953e-02
1.548584731250000000e+07,-3.368467376552360809e-02
1.548602309375000000e+07,-3.542652105077483127e-02
1.548619887500000000e+07,-2.588429668263002997e-02
1.548637465625000000e+07,-1.344738072334809680e-02
1.548655043750000000e+07,9.858868740414473454e-04
1.548672621875000000e+07,-2.595586235984000990e-03
1.548690200000000000e+07,-2.676893507371723695e-03
1.548707778125000000e+07,6.096625680427148267e-04
1.548725356250000000e+07,5.515391957320643461e-03
1.548742934375000000e+07,1.054237868247653170e-02
1.548760512500000000e+07,1.448862293723324896e-02
1.548778090625000000e+07,1.645220404744677720e-02
1.548795668750000000e+07,1.596494390334506769e-02
1.548813246875000000e+07,1.289841222928869539e-02
1.548830825000000000e+07,2.007460145293742809e-02
1.548848403125000000e+07,3.098672005047538661e-02
1.548865981250000000e+07,2.686604326574782917e-02
1.548883559375000000e+07,2.562143738653338901e-02
1.548901137500000000e+07,2.603768983481510868e-02
1.548918715625000000e+07,2.712482176422030544e-02
1.548936293750000000e+07,2.813720689608754932e-02
1.548953871875000000e+07,2.866223971704521395e-02
1.548971450000000000e+07,2.861120974675660997e-02
1.548989028125000000e+07,2.821275896467178440e-02
1.549006606250000000e+07,2.801492439355417891e-02
1.549024184375000000e+07,2.882527029846957203e-02
1.549041762500000000e+07,2.441702836919258657e-02
1.549059340625000000e+07,2.462386850195874555e-02
1.549076918750000000e+07,2.486828452482152049e-02
1.549094496875000000e+07,2.455882576140136497e-02
1.549112075000000000e+07,2.339353989272551990e-02
1.549129653125000000e+07,2.140785350106167231e-02
1.549147231250000000e+07,1.898501428474901054e-02
1.549164809375000000e+07,1.684701352658417306e-02
1.549182387500000000e+07,1.594766130448787775e-02
1.549199965625000000e+07,1.758780758081547602e-02
1.549217543750000000e+07,2.317939432794870885e-02
1.549235121875000000e+07,9.563992000790487794e-03
1.549252700000000000e+07,-8.941900815937917297e-04
1.549270278125000000e+07,4.010273955903745878e-03
1.549287856250000000e+07,5.708856799700802974e-03
1.549305434375000000e+07,4.551158520010700759e-03
1.549323012500000000e+07,1.283106424917835947e-03
1.549340590625000000e+07,-2.939396093368580598e-03
1.549358168750000000e+07,-6.629848162982683590e-03
1.549375746875000000e+07,-7.986440953326272990e-03
1.549393325000000000e+07,-5.030146844431862205e-03
1.549410903125000000e+07,-2.455854777979060884e-03
1.549428481250000000e+07,-1.234359994472209593e-02
1.549446059375000000e+07,-2.000262860078075647e-02
1.549463637500000000e+07,-2.980027250550837045e-02
1.549481215625000000e+07,-2.310518104836813136e-02
1.549498793750000000e+07,-2.149156217422454329e-02
1.549516371875000000e+07,-2.373983298926256660e-02
1.549533950000000000e+07,-2.798861123821849706e-02
1.549551528125000000e+07,-3.201133600474016100e-02
1.549569106250000000e+07,-3.323108732366832768e-02
1.549586684375000000e+07,-2.893719268683773993e-02
1.549604262500000000e+07,-3.186951702260889391e-02
1.549621840625000000e+07,-3.808948380997623229e-02
1.549639418750000000e+07,-4.115658566331090867e-02
1.549656996875000000e+07,-4.486250545095615133e-02
1.549674575000000000e+07,-5.267826164417296203e-02
1.549692153125000000e+07,-4.953320700797865517e-02
1.549709731250000000e+07,-4.799614818962041896e-02
1.549727309375000000e+07,-4.998853618950562655e-02
1.549744887500000000e+07,-5.255298354699746571e-02
1.549762465625000000e+07,-5.246118382332489588e-02
1.549780043750000000e+07,-4.626283966035028145e-02
1.549797621875000000e+07,-5.517570706946500758e-02
1.549815200000000000e+07,-5.906761114305167371e-02
1.549832778125000000e+07,-5.942407893673961466e-02
1.549850356250000000e+07,-5.934176768727476153e-02
1.549867934375000000e+07,-6.165609151916298658e-02
1.549885512500000000e+07,-6.879322825350224491e-02
1.549903090625000000e+07,-6.901895983624439790e-02
1.549920668750000000e+07,-6.600842588767723285e-02
1.549938246875000000e+07,-6.488901562045042148e-02
1.549955825000000000e+07,-6.175020650519020410e-02
1.549973403125000000e+07,-5.930435252909539712e-02
1.549990981250000000e+07,-6.759423630659203153e-02
1.550008559375000000e+07,-7.000998315912185244e-02
1.550026137500000000e+07,-6.906010182416863485e-02
1.550043715625000000e+07,-6.711612410895739789e-02
1.550061293750000000e+07,-6.628547261031472737e-02
1.550078871875000000e+07,-6.832332126631862623e-02
1.550096450000000000e+07,-7.453058282317316652e-02
1.550114028125000000e+07,-7.646972957229278278e-02
1.550131606250000000e+07,-6.897116361591160150e-02
1.550149184375000000e+07,-6.060333241306468249e-02
1.550166762500000000e+07,-6.218060690098086568e-02
1.550184340625000000e+07,-6.779259420506617007e-02
1.550201918750000000e+07,-6.899530092240856172e-02
1.550219496875000000e+07,-6.762048912471968487e-02
1.550237075000000000e+07,-6.523964282993753583e-02
1.550254653125000000e+07,-6.320120933303709221e-02
1.550272231250000000e+07,-6.251049110976947265e-02
1.550289809375000000e+07,-6.379724068333531006e-02
1.550307387500000000e+07,-6.730293118597585611e-02
1.550324965625000000e+07,-6.783266452483859010e-02
1.550342543750000000e+07,-5.158499058498890177e-02
1.550360121875000000e+07,-5.548892201390578927e-02
1.550377700000000000e+07,-5.751654910849376273e-02
1.550395278125000000e+07,-5.721213223082963900e-02
1.550412856250000000e+07,-5.565617906503689954e-02
1.550430434375000000e+07,-5.367923450426633630e-02
1.550448012500000000e+07,-5.182997768477839301e-02
1.550465590625000000e+07,-5.030594563686035386e-02
1.550483168750000000e+07,-4.899748683884119771e-02
1.550500746875000000e+07,-4.747488108990963879e-02
1.550518325000000000e+07,-4.502237966089592952e-02
