Frequency,Attenuation_dB
2.700000000000000000e+01,-8.168427119718997176e+01
7.527000000000000000e+03,-8.568791486939213087e+01
1.502700000000000000e+04,-8.562388219358109609e+01
2.252700000000000000e+04,-8.574660062766098179e+01
3.002700000000000000e+04,-8.580240237048869290e+01
3.752700000000000000e+04,-8.580825352917231896e+01
4.502700000000000000e+04,-8.562909699031237665e+01
5.252700000000000000e+04,-8.585799710231411552e+01
6.002700000000000000e+04,-8.577059327386922405e+01
6.752700000000000000e+04,-8.576662703600197801e+01
7.502700000000000000e+04,-8.575257076791862687e+01
8.252700000000000000e+04,-8.575813893783164588e+01
9.002700000000000000e+04,-8.571382760750587693e+01
9.752700000000000000e+04,-8.586384075007069328e+01
1.050270000000000000e+05,-8.575328413741645761e+01
1.125270000000000000e+05,-8.580739563070623888e+01
1.200270000000000000e+05,-8.578305994034457171e+01
1.275270000000000000e+05,-8.574823796392593067e+01
1.350270000000000000e+05,-8.576358769148286854e+01
1.425270000000000000e+05,-8.573434695215317447e+01
1.500270000000000000e+05,-8.571949508871256285e+01
1.575270000000000000e+05,-8.568209593055573237e+01
1.650270000000000000e+05,-8.563895681506878077e+01
1.725270000000000000e+05,-8.574222397839753285e+01
1.800270000000000000e+05,-8.585210973505141396e+01
1.875270000000000000e+05,-8.581205573357308936e+01
1.950270000000000000e+05,-8.586970466404264357e+01
2.025270000000000000e+05,-8.593253269212257806e+01
2.100270000000000000e+05,-8.583256620951937066e+01
2.175270000000000000e+05,-8.589262835032216969e+01
2.250270000000000000e+05,-8.602120875323359428e+01
2.325270000000000000e+05,-8.584780031865065553e+01
2.400270000000000000e+05,-8.586052408648842516e+01
2.475270000000000000e+05,-8.583039931637897269e+01
2.550270000000000000e+05,-8.600357274210986702e+01
2.625270000000000000e+05,-8.599995271758592708e+01
2.700270000000000000e+05,-8.585043417665372090e+01
2.775270000000000000e+05,-8.605166603270674841e+01
2.850270000000000000e+05,-8.624424711928205056e+01
2.925270000000000000e+05,-8.583895874027690809e+01
3.000270000000000000e+05,-8.578976113586213614e+01
3.075270000000000000e+05,-8.605023344113953954e+01
3.150270000000000000e+05,-8.601608496205990662e+01
3.225270000000000000e+05,-8.592145502985050598e+01
3.300270000000000000e+05,-8.595768478894453324e+01
3.375270000000000000e+05,-8.606475762480795311e+01
3.450270000000000000e+05,-8.600611647639897228e+01
3.525270000000000000e+05,-8.594244117075005818e+01
3.600270000000000000e+05,-8.594285141578342291e+01
3.675270000000000000e+05,-8.595347253899873863e+01
