Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0],top_i/waveform_iq_waveform_i[17:0],top_i/lut_decoder_1_x8[17:0],top_i/ddc_branch_0_x7673,top_i/xlslice_1_Dout[35:0],top_i/xlslice_2_Dout[35:0],top_i/unwrap_diff_0_x55,top_i/unwrap_diff_0_x56[31:0],top_i/signal_input_adc_out_2[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED
0,0,1,661,14450,-130272,0,541865,-1694525,0,77489799,-7
1,1,0,70,-129149,22364,0,1742099,-4126710,1,74839770,-14
2,2,0,-20,-22365,-129149,0,1902406,-2375665,1,155717336,-14
3,3,0,35,129148,-22365,0,1231007,-1429026,1,684218348,-15
4,4,0,103,22364,129148,0,168686,1412991,1,512219080,-15
5,5,0,-36,-129149,22364,0,225921,4296830,1,91063666,-4
6,6,0,-15,-22365,-129149,0,-60897,4476632,1,10165062,-25
7,7,0,150,129148,-22365,0,-446327,3191991,1,-28538328,-12
8,8,0,-11,22364,129148,0,1019399,3002179,1,-60456988,-9
9,9,0,86,-129149,22364,0,1810607,2720431,1,-91748132,-22
10,10,0,-32,-22365,-129149,0,1948175,2207532,1,-118010664,-8
11,11,0,112,129148,-22365,0,2748023,1611450,1,-123544636,-25
12,12,0,84,22364,129148,0,2735525,2154516,1,-96214280,-20
13,13,0,13,-129149,22364,0,2119683,1165709,1,-51731540,-9
14,14,0,50,-22365,-129149,0,3184797,1154679,1,-15957816,-33
15,15,0,69,129148,-22365,0,4401650,558212,1,5234682,-24
16,16,0,102,22364,129148,0,4969665,1795568,1,20953610,-9
17,17,0,-195,-129149,22364,0,4225206,2979048,1,42338690,-8
18,18,0,77,-22365,-129149,0,3737941,3899620,1,84112862,-3
19,19,0,-182,129148,-22365,0,2375026,3480178,1,174960688,-15
20,20,0,12,22364,129148,0,745257,3820695,1,314653548,-13
21,21,0,118,-129149,22364,0,-376999,3331897,1,298188557,-14
22,22,0,-74,-22365,-129149,0,-2686626,4606065,1,154458456,-21
23,23,0,35,129148,-22365,0,-6150971,5561000,1,67813238,-8
24,24,0,24,22364,129148,0,-8711096,6486407,1,24925710,-17
25,25,0,91,-129149,22364,0,-9680130,5042431,1,87028,-20
26,26,0,22,-22365,-129149,0,-8854442,4611138,1,-15265442,-13
27,27,0,-33,129148,-22365,0,-7221945,4052549,1,-19483324,-25
28,28,0,-55,22364,129148,0,-4035397,3306586,1,1554430,-8
29,29,0,-19,-129149,22364,0,-1808074,2048604,1,78198384,-26
30,30,0,72,-22365,-129149,0,-1102235,381524,1,208781986,-19
31,31,0,-128,129148,-22365,0,-3325382,-791873,1,217158480,-12
32,32,0,47,22364,129148,0,-5313498,-1526367,1,112236956,-22
