Sample in Buffer,Sample in Window,TRIGGER,top_i/unwrap_diff_0_x55,top_i/demodulated[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED
0,0,1,0,134132169
1,1,0,1,134132674
2,2,0,1,124055392
3,3,0,1,102174529
4,4,0,1,79280812
5,5,0,1,66604120
6,6,0,1,77372108
7,7,0,1,154714454
8,8,0,1,647618700
9,9,0,1,649051721
10,10,0,1,204269502
11,11,0,1,149924184
12,12,0,1,141432454
13,13,0,1,135908286
14,14,0,1,125730640
15,15,0,1,110942724
16,16,0,1,93810038
17,17,0,1,76095716
18,18,0,1,59524940
19,19,0,1,45455542
20,20,0,1,35272194
21,21,0,1,30277994
22,22,0,1,31330938
23,23,0,1,38261118
24,24,0,1,47879206
25,25,0,1,51148932
26,26,0,1,32448012
27,27,0,1,-17011572
28,28,0,1,-79240686
29,29,0,1,-106167630
30,30,0,1,-82490918
31,31,0,1,-41692456
32,32,0,1,-6462282
33,33,0,1,22060682
34,34,0,1,47707282
35,35,0,1,72416098
36,36,0,1,94116206
37,37,0,1,105257140
38,38,0,1,99186214
39,39,0,1,77570776
40,40,0,1,50778823
41,41,0,1,28457446
42,42,0,1,16562988
43,43,0,1,16734874
44,44,0,1,25710100
45,45,0,1,37854580
46,46,0,1,47140404
47,47,0,1,51036182
48,48,0,1,49481930
49,49,0,1,44468504
50,50,0,1,37489844
51,51,0,1,29753008
52,52,0,1,21801500
53,53,0,1,13750238
54,54,0,1,6283094
55,55,0,1,-722954
56,56,0,1,-6616926
57,57,0,1,-11638738
58,58,0,1,-15145644
59,59,0,1,-17234602
60,60,0,1,-17595236
61,61,0,1,-17242814
62,62,0,1,-17701530
63,63,0,1,-20748820
64,64,0,1,-26631808
65,65,0,1,-34592074
66,66,0,1,-42022254
67,67,0,1,-46198338
68,68,0,1,-45084830
69,69,0,1,-38124938
70,70,0,1,-27006446
71,71,0,1,-13239106
72,72,0,1,1564672
73,73,0,1,15493934
74,74,0,1,25697796
75,75,0,1,28878386
76,76,0,1,23689714
77,77,0,1,12557138
78,78,0,1,581634
79,79,0,1,-8158058
80,80,0,1,-12291888
81,81,0,1,-12479168
82,82,0,1,-10398734
83,83,0,1,-7708530
