Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
0,0,1,475
1,1,0,314
2,2,0,3119
3,3,0,-754
4,4,0,419
5,5,0,-73
6,6,0,-1484
7,7,0,-545
8,8,0,857
9,9,0,434
10,10,0,-303
11,11,0,44
12,12,0,749
13,13,0,131
14,14,0,-1135
15,15,0,-462
16,16,0,180
17,17,0,-611
18,18,0,-597
19,19,0,260
20,20,0,114
21,21,0,-29
22,22,0,168
23,23,0,212
24,24,0,171
25,25,0,-82
26,26,0,60
27,27,0,57
28,28,0,-72
29,29,0,-44
30,30,0,43
31,31,0,32
32,32,0,-28
33,33,0,-42
34,34,0,5
35,35,0,-55
36,36,0,43
37,37,0,-58
38,38,0,46
39,39,0,44
40,40,0,18
41,41,0,22
42,42,0,-93
43,43,0,21
44,44,0,-61
45,45,0,103
46,46,0,101
47,47,0,94
48,48,0,-67
49,49,0,-102
50,50,0,-40
51,51,0,112
52,52,0,33
53,53,0,167
54,54,0,-3
55,55,0,68
56,56,0,62
57,57,0,4
58,58,0,9
59,59,0,-21
60,60,0,29
61,61,0,62
62,62,0,-39
63,63,0,3
64,64,0,-5
65,65,0,22
66,66,0,10
67,67,0,40
68,68,0,-2
69,69,0,39
70,70,0,101
71,71,0,28
72,72,0,112
73,73,0,66
74,74,0,66
75,75,0,97
76,76,0,57
77,77,0,-6
78,78,0,81
79,79,0,88
80,80,0,-169
81,81,0,-54
82,82,0,-26
83,83,0,-157
84,84,0,115
85,85,0,-4
86,86,0,-107
87,87,0,-22
88,88,0,84
89,89,0,115
90,90,0,-18
91,91,0,-121
92,92,0,35
93,93,0,-58
94,94,0,49
95,95,0,86
96,96,0,-68
97,97,0,-3
98,98,0,92
99,99,0,-60
100,100,0,-27
101,101,0,-42
102,102,0,48
103,103,0,25
104,104,0,-79
105,105,0,54
106,106,0,-3
107,107,0,31
108,108,0,83
109,109,0,-30
110,110,0,18
111,111,0,0
112,112,0,74
113,113,0,37
114,114,0,-13
115,115,0,-27
116,116,0,-69
