Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0],top_i/waveform_iq_waveform_i[17:0],top_i/lut_decoder_1_x8[17:0],top_i/ddc_branch_0_x7673,top_i/xlslice_1_Dout[35:0],top_i/xlslice_2_Dout[35:0],top_i/unwrap_diff_0_x55,top_i/unwrap_diff_0_x56[31:0],top_i/signal_input_adc_out_2[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED
0,0,1,8,-92664,92698,0,-197723,-351355,0,42608928,-315
1,1,0,-1,50123,121108,0,-198380,-353326,0,42576161,-47
2,2,0,1,0,131071,0,-198380,-356928,0,42592544,1889
3,3,0,6,50170,121089,0,-200886,-364446,0,42600735,674
4,4,0,11,92698,92663,0,-205518,-371394,0,42604830,47
5,5,0,12,121108,-50124,0,-207570,-374472,0,42606877,426
6,6,0,1,131071,-1,0,-205270,-371022,0,42607900,428
7,7,0,-7,121089,-50171,0,-194626,-363926,0,42608411,-126
8,8,0,15,92663,-92699,0,-179050,-348350,0,42608666,663
9,9,0,6,-50124,-121109,0,-168902,-343276,0,42608793,-26
10,10,0,5,-1,-131072,0,-161348,-338240,0,42608856,-303
11,11,0,-1,-50171,-121090,0,-171464,-343298,0,42608887,59
12,12,0,-2,-92699,-92664,0,-199568,-343298,0,42608902,380
13,13,0,10,-121109,50123,0,-249572,-376634,0,42608909,254
14,14,0,4,-131072,0,0,-272370,-445028,0,42608913,-514
15,15,0,-5,-121090,50170,0,-272370,-550212,0,42608915,-18
16,16,0,-7,-92664,92698,0,-324962,-629100,1,42608916,360
17,17,0,3,50123,121108,0,-393356,-674696,0,2,-77
18,18,0,-6,0,131071,0,-410024,-708032,0,3,-335
19,19,0,10,50170,121089,0,-438128,-736136,0,4,4
20,20,0,-2,92698,92663,0,-443186,-741194,0,5,-178
21,21,0,-10,121108,-50124,0,-435632,-733640,0,6,11
22,22,0,0,131071,-1,0,-425484,-728566,0,7,-25
23,23,0,14,121089,-50171,0,-409908,-712990,0,8,-69
24,24,0,4,92663,-92699,0,-402812,-705894,0,9,-90
25,25,0,3,-50124,-121109,0,-399362,-702444,0,10,-41
26,26,0,5,-1,-131072,0,-401414,-703470,0,11,1
27,27,0,13,-50171,-121090,0,-408362,-705786,0,12,-69
28,28,0,11,-92699,-92664,0,-410868,-713304,0,13,53
29,29,0,13,-121109,50123,0,-416271,-716906,0,14,-77
30,30,0,2,-131072,0,0,-418242,-718877,0,15,-82
31,31,0,-2,-121090,50170,0,-416958,-718449,0,16,78
32,32,0,2,-92664,92698,0,-413664,-717351,0,17,-94
33,33,0,21,50123,121108,0,-411212,-713673,0,18,-79
34,34,0,11,0,131071,0,-408497,-711863,0,19,-88
35,35,0,7,50170,121089,0,-407781,-710789,0,20,-29
36,36,0,3,92698,92663,0,-408117,-711461,0,21,15
37,37,0,3,121108,-50124,0,-409620,-713465,0,22,-59
38,38,0,11,131071,-1,0,-411369,-714048,0,23,-93
39,39,0,4,121089,-50171,0,-412283,-714962,0,24,-66
40,40,0,8,92663,-92699,0,-412735,-715414,0,25,-101
41,41,0,13,-50124,-121109,0,-412723,-715406,0,26,-85
42,42,0,-7,-1,-131072,0,-412405,-714770,0,27,-24
43,43,0,1,-50171,-121090,0,-411751,-714116,0,28,49
44,44,0,9,-92699,-92664,0,-411355,-713918,0,29,87
45,45,0,13,-121109,50123,0,-410941,-713504,0,30,101
46,46,0,4,-131072,0,0,-410793,-713282,0,31,-12
47,47,0,10,-121090,50170,0,-410706,-713166,0,32,-17
48,48,0,-3,-92664,92698,0,87,87,0,33,-49
49,49,0,4,50123,121108,0,161,309,0,34,-27
50,50,0,16,0,131071,0,437,723,0,35,33
51,51,0,-2,50170,121089,0,833,1317,0,36,11
52,52,0,19,92698,92663,0,1269,2189,0,37,21
53,53,0,18,121108,-50124,0,1905,2666,0,38,-57
54,54,0,9,131071,-1,0,1917,2678,0,39,7
55,55,0,1,121089,-50171,0,1691,2226,0,40,-42
56,56,0,10,92663,-92699,0,777,855,0,41,-22
57,57,0,1,-50124,-121109,0,-972,-1477,0,42,13
58,58,0,5,-1,-131072,0,-2475,-2980,0,43,-70
59,59,0,8,-50171,-121090,0,-2811,-3484,0,44,-11
60,60,0,-5,-92699,-92664,0,-2095,-2768,0,45,-42
61,61,0,12,-121109,50123,0,620,-53,0,46,11
62,62,0,21,-131072,0,0,4298,1173,0,47,33
63,63,0,5,-121090,50170,0,6494,3369,0,48,-53
64,64,0,12,-92664,92698,0,6922,4653,0,49,-44
65,65,0,-2,50123,121108,0,6922,3339,0,50,-85
66,66,0,10,0,131071,0,5121,-2064,0,51,-16
67,67,0,2,50170,121089,0,109,-9582,0,52,-15
68,68,0,-8,92698,92663,0,-4523,-16530,0,53,3
69,69,0,16,121108,-50124,0,-6575,-19608,0,54,-78
70,70,0,-3,131071,-1,0,-3125,-17308,0,55,-102
71,71,0,0,121089,-50171,0,7519,-6664,0,56,-52
72,72,0,21,92663,-92699,0,17903,-1472,0,57,-49
73,73,0,6,-50124,-121109,0,33125,8676,0,58,-8
74,74,0,-5,-1,-131072,0,43197,13712,0,59,-94
75,75,0,3,-50171,-121090,0,35610,13712,0,60,-16
76,76,0,0,-92699,-92664,0,7506,-5024,0,61,-28
77,77,0,5,-121109,50123,0,-9162,-55028,0,62,-47
